Year,Date,Magnitude,Region,Depth,Notes,Deaths,Injuries
2000,16-Nov,8,Papua New Guinea New Ireland,13,One person killed in a landslide another from a heart attack. Two 7.8 Mw aftershocks occurred the following day.,2,0
2001,23-Jun,8.4,Peru Arequipa,33,At least 90 drowned in a 7m (23ft)-high tsunami.,145,2713
2002,03-Nov,7.9,United States Alaska,4.2,It is the largest earthquake in Alaska in 16 years.,0,1
2003,26-Sep,8.3,Japan Hokkaidō,23.5,Two missing. A 4m (13ft)-high tsunami observed.,0,849
2004,26-Dec,9.2,Indonesia Sumatra,10,Majority of the deaths were from the associated tsunami that devastated parts of Southeast Asia and Eastern Africa with heights up to 51m (167ft) in Banda Aceh.,227898,125000
2005,28-Mar,8.6,Indonesia Simeulue,21,Ten fatalities in Sri Lanka due to evacuations. A 3m (9.8ft)-high tsunami damaged an airport.,1313,300
2006,15-Nov,8.3,Russia Kuril Islands,10,1 person injured when a tsunami struck with heights of 15m (49ft).,0,1
2007,12-Sep,8.4,Indonesia Sumatra,34,A 3m (9.8ft) tsunami observed.,23,0
2008,12-May,8,China Sichuan,19,-,87587,374177
2009,29-Sep,8.1,Samoa Offshore,18,A tsunami up to 14m (46ft) struck the Samoan coast.,189,7
2010,27-Feb,8.8,Chile Concepción,22.9,A 10m (33ft) tsunami struck the Chilean coast.,550,12000
2011,11-Mar,9.1,Japan Honshu,29,A tsunami up to 40.5m (133ft) struck the Tohoku coast.,19747,6000
2012,11-Apr,8.6,Indonesia Indian Ocean,20,An 8.2 Mw aftershock occurred a few hours later.,10,12
2013,24-May,8.3,Russia Sea of Okhotsk,598.1,The quake was felt as far away as Moscow.,0,0
2014,01-Apr,8.2,Chile Iquique,25,-,6,9
2015,16-Sep,8.3,Chile Coquimbo,22.4,-,21,34
2016,17-Dec,7.9,Papua New Guinea New Ireland,94.5,-,0,0
2017,07-Sep,8.2,Mexico Chiapas,47.4,-,98,250
2018,19-Aug,8.2,Fiji Offshore,600,-,0,0
2019,26-May,8,Peru Loreto,122.6,-,2,0
2020,22-Jul,7.8,United States Alaska Peninsula offshore,28,Foreshock to the 8.2 in 2021 along with an event in October.,0,0
2021,28-Jul,8.2,United States Alaska Peninsula offshore,32.2,This is the largest earthquake in the United States since the 1965 Rat Islands earthquake.,0,0
2022,16-Mar,7.3,Japan Fukushima offshore,41,-,4,225
